;ID;Pays;INT02;Q1;Q2;Q3;Q4;Q5;Q6;INT04;V_ACCORD;V6;V7_1;V7_2;V8;V9;V10;V11;V12;V13;V14_1;V14_2;V14_3;V14_4;V14_4_PRE;V14_4_TRANS;V14_1R;V14_2R;V14_3R;V15_1;V15_2;V15_3;V20;V21_1;V21_2;V21_3;V21_4;V21_5;V21_6;V21_7;V21_8;V21_9;V21_10;V21_11;V22_1;V22_2;V22_3;V22_4;V22_5;V23C1;V23C2;V23C3;V23C4;V23C5;V23C6;V23C7;V23C8;V23C9;V23C10;V23C11;V23C12;V23C12O;V23C12O_TRANS;V23C13;V23C13O;V23C13O_TRANS;V23C14;V23C14O;V23C14O_TRANS;V23C15;V23C16;V23C17;V24;V25;V26;V26O;V26O8_TRANS;V27;V28;V29;V30;V31;V31_1;V32;V32_PRE;V33;V34;V35;V35_1;TEST_REVENU;V36;V37;V38;V39;V40;V40_1;V40_2;V41;TEST_FIXE;V42;TEST_MOBILE;V42_1;REMARQUE;REMARQUEO
1;ES_001;ES;6;1;NA;NA;1;NA;NA; ;1;25000;998;998;4;1;4;NA;3;3;1;2;2;2; ;;1;2;2;2;2;2;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;1;5;5;13; ; ;4;5;NA;1;1987;NA;59; ;11;9;99999999;12;NA;1;99;99;99;NA;ESPANHA;5;99;NA;99;NA;1;2;no quizo responder todas las preguntas
2;ES_002;ES;6;1;NA;NA;1;NA;NA; ;1;140000;40;40;2;2;3;3;1;4;1;2;2;2; ;;2;1;2;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;1;1;1;13; ; ;5;5;NA;2;9999;40;59; ;11;6;99999999;12;NA;1;99;99;99;30100; ;1;99;NA;99;NA;3;3;NA
3;ES_003;ES;6;1;NA;NA;1;NA;NA; ;1;5000;998;998;1;1;1;3;1;4;2;2;2;2; ;;2;1;2;2;1;2;6;5;2;4;2;2;2;2;2;1;2;1;2;5;5;5;5;1;0;0;0;0;1;0;0;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;TODOS;Everyone;5;5;NA;1;1994;NA;59; ;2;1;99999998;3;NA;5;1;0;NA;NA;MADRID;1;0;NA;1;NA;1;1;NA
4;ES_004;ES;6;1;NA;NA;1;NA;NA; ;1;50000;70;70;2;2;1;4;1;3;1;2;2;2; ;;2;1;2;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;1;6;6;13; ; ;5;5;NA;2;9999;69;59; ;11;5;99999999;12;NA;5;99;99;99;28000; ;1;99;NA;99;NA;3;3;NA
5;ES_005;ES;6;1;NA;NA;1;NA;NA; ;1;19000;60;80;4;4;3;3;3;2;2;2;2;2; ;;1;2;1;2;2;2;7;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1;NO CONTESTA;DOESN'T ANSWER;0; ; ;0; ; ;0;0;0;6;6;12; ; ;5;5;NA;2;1984;NA;59; ;11;9;99999999;3;NA;1;99;99;99;NA;VALLADOLID;1;0;NA;1;NA;1;1;NA
6;ES_006;ES;6;1;NA;NA;1;NA;NA; ;1;9999998;50;60;1;1;3;1;1;4;2;2;2;2; ;;1;2;1;1;2;3;6;2;1;5;4;5;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;1;6;6;13; ; ;5;5;NA;2;1974;NA;59; ;2;1;99999999;4;NA;5;99;99;99;NA;VALENCIA;1;1;NA;99;NA;1;1;NA
7;ES_007;ES;6;1;NA;NA;1;NA;NA; ;1;700000;5;30;1;1;4;NA;1;4;2;2;2;2; ;;1;2;1;1;1;2;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1;NO SABE;DOESN'T KNOW;0; ; ;0; ; ;0;0;0;6;6;12; ; ;5;5;NA;1;1990;NA;59; ;11;9;99999999;12;NA;5;99;99;99;NA;CADIX;1;1;NA;1;NA;1;1;NA
8;ES_008;ES;6;1;NA;NA;1;NA;NA; ;1;9999998;998;998;1;1;5;5;3;4;1;1;1;2; ;;2;2;1;2;1;2;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;1;0;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;6;6;13; ; ;4;5;NA;1;1990;NA;59; ;11;9;99999999;12;NA;5;99;99;99;NA;ESPANHA;5;99;NA;99;NA;3;2;tranco antes de culminar encuesta
9;ES_009;ES;6;1;NA;NA;1;NA;NA; ;1;1000;70;50;1;1;2;3;1;2;1;2;2;2; ;;1;2;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;Hay muchas razones;There are many reasons;0; ; ;0; ; ;0;0;0;6;6;13; ; ;5;5;NA;1;NA;34;59; ;11;2;99999999;12;NA;5;99;99;99;NA;MADRID;1;1;NA;99;NA;1;1;NA
10;ES_010;ES;6;1;NA;NA;1;NA;NA; ;1;5000;5;20;1;2;1;2;2;4;1;2;2;2; ;;1;2;1;1;2;1;1;3;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0; ; ;0; ; ;0;0;1;6;6;13; ; ;5;5;NA;1;9999;76;59; ;11;5;99999999;12;NA;5;99;99;99;NA;MADRID;1;99;NA;1;NA;1;1;NA
