"X","y","Pays","Sexe","Age","Education","Statut_emploi","Revenu","Residence","Duree","mode_pref","StatutEmploi","ConsEnv"
1,0,"Belgium","femme",49,"secondaire","Not Employed","faible","aire metropolitaine",20,"vehicule individuel","sans emploi",5
2,0,"France","homme",26,"universite","Not Employed","tres faible","petite-moyenne ville",20,"vehicule individuel","sans emploi",8
3,1,"Czech Republic","homme",50,"universite","Employed","moyen","grande ville",20,"marche","employe",6
4,0,"Sweden","homme",54,"universite","Employed","eleve","aire metropolitaine",60,"transport collectif","employe",8
5,0,"Poland","homme",36,"secondaire","Employed","eleve","aire metropolitaine",30,"vehicule individuel","employe",8
6,1,"Belgium","homme",60,"secondaire","Not Employed","moyen","petite-moyenne ville",45,"velo","sans emploi",5
7,0,"Hungary","homme",49,"secondaire","Employed","moyen","petite-moyenne ville",70,"vehicule individuel","employe",5
8,1,"Sweden","femme",39,"universite","Employed","eleve","petite-moyenne ville",4,"velo","employe",10
9,0,"France","homme",27,"universite","Employed","sans reponse","petite-moyenne ville",20,"marche","employe",8
10,0,"Belgium","femme",17,"secondaire inferieur","Not Employed","moyen","aire metropolitaine",55,"transport collectif","sans emploi",8
11,0,"Poland","homme",36,"secondaire","Employed","tres eleve","aire metropolitaine",40,"transport collectif","employe",5
12,1,"Germany","homme",23,"secondaire inferieur","Employed","faible","petite-moyenne ville",25,"velo","employe",7
13,0,"Spain","femme",36,"universite","Employed","sans reponse","petite-moyenne ville",60,"transport collectif","employe",5
14,0,"Denmark","homme",45,"secondaire","Employed","eleve","petite-moyenne ville",40,"vehicule individuel","employe",3
15,0,"Italy","homme",43,"secondaire","Employed","moyen","zone rurale",15,"marche","employe",8
16,0,"Finland","femme",29,"universite","Employed","moyen","aire metropolitaine",35,"transport collectif","employe",8
17,0,"Belgium","homme",50,"secondaire inferieur","Employed","moyen","zone rurale",60,"vehicule individuel","employe",8
18,0,"Italy","femme",38,"secondaire","Not Employed","moyen","zone rurale",5,"vehicule individuel","sans emploi",7
19,1,"Czech Republic","homme",31,"universite","Employed","eleve","aire metropolitaine",35,"velo","employe",9
20,1,"Czech Republic","homme",41,"universite","Employed","moyen","petite-moyenne ville",15,"velo","employe",9
